Instance,Miliseconds,Opt, optCalc,Capacity
0,0,1989,1989,970
1,1,2806,2806,1900
2,1,1200,1200,900
3,0,969,969,737
4,0,1327,1327,836
5,1,2190,2190,1842
6,1,1958,1958,1648
7,1,2760,2760,2174
8,2,4030,4030,2755
9,1,4056,4056,3296
10,2,3497,3497,2925
11,1,3766,3766,3064
12,3,6424,6424,5552
13,3,5698,5698,5010
14,3,6235,6235,5376
15,2,6440,6440,5323
16,4,7788,7788,6631
17,4,10114,10114,8752
18,4,8556,8556,7476
19,3,7846,7846,5107
20,3,9200,9200,6443
21,6,12349,12349,11110
22,4,9237,9237,7369
23,1,4898,4898,1739
24,4,9318,9318,6467
25,6,13098,13098,11730
26,5,11336,11336,9329
27,6,14729,14729,11689
28,1,3875,3875,1383
29,3,10230,10230,7018
30,4,8969,8969,6355
31,2,6862,6862,4998
32,6,14260,14260,11482
33,4,10662,10662,7511
34,3,8685,8685,6002
35,3,8715,8715,5901
36,6,13874,13874,10734
37,6,14689,14689,11638
38,5,13165,13165,10811
39,4,10912,10912,7396
40,6,15646,15646,11904
41,6,15673,15673,12471
42,7,16039,16039,12963
43,4,8668,8668,6101
44,4,12242,12242,8354
45,9,20240,20240,17394
46,7,15373,15373,12215
47,4,10837,10837,7822
48,4,11947,11947,7981
49,7,16520,16520,13742
