Instance,Miliseconds,Opt, optCalc,Capacity
0,0,2096,2096,995
1,1,1901,1901,997
2,0,1944,1944,970
3,1,1872,1872,976
4,0,2351,2351,1361
5,3,2845,2845,1370
6,0,2951,2951,1765
7,2,3527,3527,2030
8,1,3357,3357,2152
9,1,3947,3947,2745
10,3,4099,4099,2397
11,2,4977,4977,3676
12,2,4900,4900,3194
13,3,5465,5465,3665
14,3,5829,5829,4223
15,2,6117,6117,4316
16,4,6081,6081,4179
17,2,6691,6691,4589
18,4,6697,6697,4389
19,4,7885,7885,5782
20,4,7327,7327,5030
21,3,7441,7441,5241
22,4,7995,7995,5691
23,4,7970,7970,5613
24,5,8610,8610,6312
25,4,8541,8541,5939
26,4,8386,8386,5883
27,4,9261,9261,6619
28,4,8696,8696,5990
29,6,10647,10647,8045
30,10,11048,11048,8349
31,10,11237,11237,8630
32,9,10032,10032,7341
33,12,10701,10701,7894
34,7,11183,11183,8186
35,9,12254,12254,9462
36,5,12833,12833,9829
37,5,11392,11392,8297
38,5,12086,12086,8990
39,5,12362,12362,9191
40,6,12758,12758,9656
41,6,14068,14068,10962
42,6,14397,14397,11194
43,8,15884,15884,12882
44,6,14382,14382,11181
45,7,14141,14141,10940
46,7,15424,15424,12215
47,5,13708,13708,10204
48,8,16626,16626,13322
49,6,13484,13484,9771
