Instance,Miliseconds,Opt, optCalc,Capacity
0,1,994,994,994
1,0,997,997,997
2,0,998,998,998
3,1,999,999,999
4,1,1232,1232,1232
5,0,1388,1388,1388
6,1,1812,1812,1812
7,1,1941,1941,1941
8,1,2258,2258,2258
9,2,2835,2835,2835
10,1,2230,2230,2230
11,2,3509,3509,3509
12,1,3198,3198,3198
13,2,3843,3843,3843
14,3,4478,4478,4478
15,2,4208,4208,4208
16,2,4365,4365,4365
17,3,4150,4150,4150
18,3,4715,4715,4715
19,2,5511,5511,5511
20,2,5324,5324,5324
21,3,5962,5962,5962
22,4,5714,5714,5714
23,3,6452,6452,6452
24,3,5763,5763,5763
25,6,6872,6872,6872
26,14,6968,6968,6968
27,3,5662,5662,5662
28,3,5917,5917,5917
29,12,7239,7239,7239
30,5,8117,8117,8117
31,12,8398,8398,8398
32,5,8473,8473,8473
33,4,8096,8096,8096
34,5,8135,8135,8135
35,4,7907,7907,7907
36,5,8907,8907,8907
37,4,8153,8153,8153
38,5,10348,10348,10348
39,6,10102,10102,10102
40,5,10121,10121,10121
41,6,10955,10955,10955
42,6,10120,10120,10120
43,7,12713,12713,12713
44,6,11855,11855,11855
45,7,12146,12146,12146
46,10,11652,11652,11652
47,11,11620,11620,11620
48,6,11782,11782,11782
49,7,11557,11557,11557
